return_code,vendor_action,action,vendor_message
150,"Opening data connection","success","Opening data connection"
200,"Command ok","success","Command ok"
213,"File Status","success","Modify"
221,"Goodbye","success","Goodbye"
226,"Action Successful","success","Transfer complete"
227,"Entering Passive Mode","success","Entering Passive Mode"
230,"Password OK","success","Connected. logged in"
234,"Changing to secure mode","success","Changing to secure mode"
250,"Action Successful","success","command successful"
257,"command successful","success","PWD command successful"
331,"Username OK","success","Need password"
350,"File exists","success","File exists, ready for new name"
502,"Command not recognized","failure","Command not recognized or allowed"
530,"Access denied","failure","Access denied"
550,"Access not allowed","failure","Your IP is not allowed to connect for this user"
